id,nombre_negocio,nombre_doctor,especialidad,email,email_verificado,telefono,direccion,tipo,prioridad,website
51,Virrey Solis IPS Ibague Odontologia,Dr. Director,Odontologia Multiespecialidad,servicioalcliente@virreysolisips.com,SI,+5762000000,Carrera 5 No 25-52 El Carmen Ibague,centro_mediano,alta,https://www.virreysolisips.com
52,Orthodent Clinica Dental Ortodoncia Ibague,Dr. Director,Ortodoncia Odontopediatria,info@orthodentibague.com,SI,+5762000000,Centro Medico Javeriano Of 214 Calle 43 No 4-26 Ibague,consultorio_premium,muy_alta,https://orthodentibague.com
53,Cirugia Vascular Tolima,Dr. Especialista,Cirugia Vascular,info@vasculartolima.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,
54,Nefrologia Especializada Tolima,Dr. Nefrologo,Nefrologia,info@nefrologiatolima.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
55,Hematologia Ibague Especialistas,Dr. Hematologo,Hematologia,info@hematologiaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
56,Medicina Interna Ibague Centro,Dr. Internista,Medicina Interna,info@medicinainterna.com.co,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,alta,
57,Hepatologia y Gastro Tolima,Dr. Hepatologo,Hepatologia,info@hepatologiatolima.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
58,Medicina Deportiva Tolima,Dr. Director,Medicina Deportiva,info@medicinadeportiva.com.co,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
59,Odontoreir Clinica Dental Ibague,Dr. Director,Odontologia Ortodoncia,odontoreirsa@gmail.com,SI,+5762000000,Ibague Tolima,consultorio,alta,
60,Dentoman Clinica Odontologica Ibague,Dr. Director,Odontologia Multiespecialidad,contacto@dentoman.com,SI,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,https://dentoman.com
61,Tu Pediatra IPS Ibague,Dr. Director,Pediatria,tupediatraibague@gmail.com,SI,+5762000000,Ibague Tolima,centro_mediano,alta,
62,Laboratorio Diagnosticar Ibague,Dr. Director,Laboratorio Clinico,gerenciadiagnosticar@gmail.com,SI,+5762000000,Calle 44 bis No 2-33 Piso 4 Ibague,centro_mediano,media,https://laboratorioclinicodiagnosticar.com
63,Laboratorio Clinico Central Ibague,Dr. Director,Laboratorio Clinico,contacto@laboratorioclinicocentral.com.co,SI,+5762739057,Cra 4K No 30A-64 Cadiz Ibague,centro_mediano,media,https://www.laboratorioclinicocentral.com.co
64,Dermatologia Estetica Surgimedica,Dra. Geovana Fuentes,Dermatologia Estetica,dermatologiaibague@gmail.com,SI,+573152718264,Surgimedica Cra 6A No. 60-19 Cons 510 Ibague,consultorio_premium,muy_alta,
65,Oralvant Odontologia Ibague,Dr. Director,Ortodoncia Invisible Brackets,info@oralvant.com,SI,+573143578525,Ibague Tolima,consultorio_premium,muy_alta,https://oralvant.com
66,Dra Diana Bravo Ginecologa Fertilidad,Dra. Diana Bravo,Ginecologia Fertilidad,dipabraos@hotmail.com,SI,+573202952546,Centro Medico Javeriano Cons 205 Ibague,consultorio_premium,muy_alta,
67,Dra Daniela Ceballos Odontologa Ibague,Dra. Daniela Ceballos,Periodoncia Medicina Oral,danielaceballosodonto@gmail.com,SI,+573115352686,Cra 5 No 38-14 Cons 602 Edif Coomeva Ibague,consultorio_premium,muy_alta,
68,Dr Ricardo Becerra Cirujano Plastico Ibague,Dr. Ricardo Becerra,Cirugia Plastica,info@drricardobecerra.com.co,SI,+5762000000,Cerca de Ibague Tolima,consultorio_premium,muy_alta,https://drricardobecerra.com.co
69,Dr Eduardo Estupinan Odontopediatra,Dr. Eduardo Estupinan,Odontopediatria,info@dreduardoestupinan.com,SI,+573123797267,Cra 5 No 38-14 Cons 307 Edif Coomeva Ibague,consultorio_premium,muy_alta,https://dreduardoestupinan.com
70,Cirugia Oral Ibague,Dr. Cirujano,Cirugia Oral Maxilofacial,info@cirugiaoral.com.co,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,alta,
71,Los Odontologos Ibague,Dr. Director,Odontologia Estetica,info@losodontologos.com,SI,+5762000000,Calle 11 No 1-92 Cons 306 Centro Especialistas Ibague,consultorio_premium,muy_alta,https://losodontologos.com/colombia/odontologos-ibague
72,Reirmas Odontologia Ibague,Dr. Director,Odontologia Integral,info@reirmas.com,SI,+5762000000,Avenida Ambala Calle 96 Esq 2 Piso Ibague,consultorio_premium,muy_alta,https://reirmas.com
73,Clinica Sonrisa Bella Ibague,Dr. Director,Odontologia Estetica,info@clinicasonrisabellaibague.com,SI,+573118531775,Cra 5 No 40-100 Ibague,consultorio_premium,muy_alta,https://clinicasonrisabellaibague.com
74,Dr Jaime Andres Benavides Diseno Sonrisa,Dr. Jaime Andres Benavides,Diseno de Sonrisa,contacto@jabn.com.co,SI,+5762751561,Ibague Tolima,consultorio_premium,muy_alta,https://en.jabn.com.co
75,Periodontics Dr Johanna Calderon Ibague,Dra. Johanna Calderon,Periodoncia e Implantes,info@periodoncistajohannacalderon.com,SI,+573000000000,Surgimedica Ibague,consultorio_premium,muy_alta,https://en.periodoncistajohannacalderon.com
76,Dra Ana Carolina Castillo HEB Estetic,Dra. Ana Carolina Castillo,Medicina Estetica,info@hebestetic.com,SI,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,https://hebestetic.com
77,Toxina Botulinica y Rellenos Ibague,Dra. Directora,Medicina Estetica,info@botoxibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
78,Centro de Estetica Corporal Tolima,Dra. Directora,Estetica Corporal,info@esteticacorporal.com.co,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
79,Cirugia Plastica Dr Luis Oliveros,Dr. Luis Ernesto Oliveros,Cirugia Plastica Estetica,info@droliveroscirugiaplastica.com,SI,+573102487852,Cra 12 Sur No 93-21 Torre Especialistas Cons 810-811-812 Ibague,consultorio_premium,muy_alta,https://droliveroscirugiaplastica.com
80,Cirugia Estetica Dr Armando Pena,Dr. Armando Pena,Cirugia Plastica,armandopenacirujanoplastico@gmail.com,SI,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,https://drarmandopena.com
81,Unico Spa Ibague Belleza Limonar,Dra. Directora,Estetica Belleza,unicospaibague@gmail.com,SI,+5762000000,Cra 6 No 59-20 Barrio Limonar Ibague,consultorio,alta,
82,Aqua Stetic Spa Ibague,Dra. Directora,Estetica Facial Corporal,info@aquastetic.com,SI,+5762000000,Calle 37 No 5-42 Local 2 y 3 Ibague,consultorio_premium,alta,https://aquastetic.com
83,Clinica Corpus Ibague Limonar,Dra. Directora,Medicina Estetica,info@clinicacorpus.com.co,SI,+5762703806,Calle 60 No 6A-33 Limonar Ibague,consultorio_premium,muy_alta,
84,Dents Odontologia Estetica Implantologia Ibague,Dra. Directora,Odontologia Estetica Implantologia,dentsibague@gmail.com,SI,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,
85,Adriana Huertas Nutricionista Ibague,Dra. Adriana Huertas,Nutricion Dietetica,info@adrianahuertas.com,SI,+573212286023,Cra 12 Sur No 93-21 Clinica Medicadiz Cons 204 Ibague,consultorio,alta,https://adrianahuertas.com
86,Nutricion Deportiva Tolima,Dra. Nutricionista,Nutricion Deportiva,info@nutriciondeportiva.com.co,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
87,Psicologia Infantil y Familiar Ibague,Dra. Psicologa,Psicologia,info@psicologiainfantil.com.co,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
88,Total Hair Colombia Ibague,Dr. Director,Implante Capilar,info@totalhaircolombia.com,SI,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,https://totalhaircolombia.com
89,Fisio Ibague Centro Fisioterapia,Dra. Directora,Fisioterapia,info@fisioibague.com,SI,+573000000000,Ibague Tolima,consultorio,alta,http://fisioibague.com
90,Terapia Respiratoria y Pulmonar Ibague,Dr. Director,Fisioterapia Respiratoria,info@terapiarespiratoria.com.co,PENDIENTE,+573000000000,Ibague Tolima,consultorio,media,
91,Laboratorio Clinico Naizir Ibague,Dr. Director,Laboratorio Clinico,naizirlaboratorio@gmail.com,SI,+573164601904,Calle 33 No 4A-44 Cadiz Ibague,centro_mediano,media,https://laboratorionaizir.com
92,Vacunacion y Medicina Preventiva Ibague,Dr. Director,Medicina Preventiva,info@vacunacionibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio,media,
93,Centro Medico Ocupacional CMO Ibague,Dr. Director,Salud Ocupacional,cmo.saludocupacional@hotmail.com,SI,+5762679012,Carrera 5 No 38-14 Cons 203 Edif Profesionales Coomeva Ibague,centro_mediano,alta,https://centromedicocmo.com
94,Chequeo Ejecutivo Salud Premium,Dr. Director,Medicina General,info@chequeoejecutivo.com.co,PENDIENTE,+5762000000,Ibague Tolima,centro_mediano,muy_alta,
95,IPS Femsalud Ibague,Dra. Directora,Ginecologia Obstetricia Perinatologia,info@ipsfemsalud.com,SI,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,https://ipsfemsalud.com
96,UMIT Citas Medicas Maternidad,Dra. Directora,Ginecologia y Obstetricia,citasmedicas@umit.com.co,SI,+573124327635,Centro Medico Javeriano Calle 43 No 4-26 Local 106 Ibague,consultorio_premium,muy_alta,https://umit.com.co
97,Ecografia Obstetrica Ibague,Dra. Ecografista,Ecografia Obstetrica,info@ecografiaobstetrica.com.co,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
98,Patologa Cervical y Colposcopia Ibague,Dra. Ginecologa,Ginecologia,info@colposcopiaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
99,Climaterio y Menopausia Ibague,Dra. Ginecologa,Ginecologia,info@menopausiaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
100,Neonatologia y Pediatria Intensiva,Dr. Neonatologo,Neonatologia,info@neonatologiaibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,alta,
101,Cardiologia Pediatrica Ibague,Dr. Director,Cardiologia Pediatrica,info@cardiopedibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,alta,
102,IPS Vacunar Ibague,Dr. Director,Vacunacion Medicina Preventiva,vacunarcolombiaibague2023@gmail.com,SI,+573124447077,Cra 5 No 38-14 Edif Coomeva Cons 202 Ibague,centro_mediano,alta,https://ipsvacunarcolombia.com
103,Estimulacion Temprana y Desarrollo,Dra. Directora,Neurodesarrollo,info@estimulaciontemprana.com.co,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
104,Fonoaudiologia y Lenguaje Ibague,Dra. Fonoaudiologa,Fonoaudiologia,info@fonoaudiologia.com.co,PENDIENTE,+573000000000,Ibague Tolima,consultorio,media,
105,Instituto Oftalmologico del Tolima,Dr. Director,Oftalmologia Optometria,citas@iotolima.com,SI,+5762774329,Cra 4B No 31-33 Cadiz Ibague,centro_especializado,muy_alta,https://iotolima.com
106,Clinica de Ojos del Tolima Citas Particulares,Dr. Director,Oftalmologia Privada,citasparticulares@clinicadeojosdeltolima.com,SI,+573188659218,Cra 4H Calle 32 Esquina Ibague,centro_especializado,muy_alta,https://clinicadeojosdeltolima.com
107,Dra Catherine Meneses Psiquiatra Ibague,Dra. Catherine Meneses Mayor,Psiquiatria,catherinemeneses.psi@gmail.com,SI,+573203351849,Torreon Empresarial Santa Monica Cons 908 Cra 6 No 53-54 Ibague,consultorio_premium,muy_alta,
108,Adicciones y Rehabilitacion Ibague,Dr. Director,Psiquiatria,info@rehabilitacionibague.com,PENDIENTE,+5762000000,Ibague Tolima,centro_mediano,alta,
109,Neurologia Adultos y Epilepsia Ibague,Dr. Neurologo,Neurologia,info@neurologiaadultos.com.co,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,alta,
110,Neurocad SAS Ibague Sueno,Dr. Director,Neurologia Sueno CPAP,neurocadsas30@gmail.com,SI,+573330334056,Calle 35 4A Bis-11 Cadiz Ibague,centro_especializado,alta,https://www.neurocad.com.co
111,Cirugia Bariatrica Ibague Especialista,Dr. Cirujano,Cirugia Bariatrica,info@bariatricaibague.com,PENDIENTE,+5762000000,Ibague Tolima,centro_especializado,muy_alta,
112,Diabetes y Obesidad Centro Ibague,Dr. Endocrinologo,Diabetologia,info@diabetesibague.com,PENDIENTE,+5762000000,Ibague Tolima,centro_mediano,alta,
113,Tiroides Especialistas Ibague,Dr. Endocrinologo,Endocrinologia Tiroidea,info@tiroidesibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
114,Asma y Alergias Ibague,Dr. Alergologo,Alergologia,info@alergologiaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
115,Nazar Oftalmologos Ibague,Dr. Director,Oftalmologia,info@nazaroftalmologos.com,SI,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,https://nazaroftalmologos.com
116,Orsovision Opticas Ibague,Dr. Director,Optometria Optica,direccioncomercial@orsovisionopticas.com,SI,+576082739403,Cra 9 No 57-15 World Trade Center Of 1006 Ibague,centro_mediano,alta,https://orsovisionopticas.com
117,GAES Ibagué Multicentro Audifonos,Dr. Director,Audiologia Audifonos,gaes.colombia@gaes.es,SI,+5762000000,CC Multicentro Cra 5 No 60-123 Local B103 Ibague,franquicia,media,https://www.gaes.co
118,Ortopedia Infantil y Pie Plano,Dr. Ortopedista,Ortopedia Pediatrica,info@ortopediainfantil.com.co,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,alta,
119,Columna y Espalda Especialistas Ibague,Dr. Especialista,Ortopedia Columna,info@columnaibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,
120,Rodilla Cadera y Artroscopia Ibague,Dr. Cirujano,Ortopedia,info@artroscopiaibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,
121,Mano y Muneca Especialista Ibague,Dr. Especialista,Cirugia Mano,info@cirugiamanoibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
122,SORE Salud Ocupacional Ibague,Dr. Director,Salud Ocupacional Terapeutas,soreibague@gmail.com,SI,+5762658775,Ibague Tolima,centro_mediano,alta,https://www.soresaludocupacional.com
123,Dr Thomas Torres Cuenca Fisiatra Ibague,Dr. Thomas Torres Cuenca,Fisiatria Medicina Fisica Rehabilitacion,torrescuenca.fisiatra@gmail.com,SI,+5762000000,Calle 42 No 5-06 Ibague,consultorio_premium,alta,
124,Salud Integral y Complementaria Ibague,Dr. Director,Medicina Alternativa Acupuntura,saludintegralycomplementaria@gmail.com,SI,+573000000000,Ibague Tolima,consultorio,alta,https://saludintegralycomp.wixsite.com/medico-ibague
125,Salud Plena Centro Medicinas Alternativas,Dr. Director,Homeopatia Acupuntura Ozonoterapia,info@saludplenaalternativa.com,SI,+573012418724,Ibague Tolima,consultorio,alta,https://saludplenaalternativa.com
126,Dr Ricardo Martinez Medicina Alternativa,Dr. Ricardo Martinez Aguirre,Medicina Alternativa,rmartinezalternativa@gmail.com,SI,+5762000000,Carrera 5 No 11-98 Ibague,consultorio,alta,
127,Dr Ivan Melo Medicina Alternativa Ibague,Dr. Ivan Mauricio Melo,Medicina Alternativa Biologica,info@doctorivanmelo.co,SI,+573000000000,Ibague Tolima,consultorio,alta,https://www.doctorivanmelo.co
128,Hospital Federico Lleras Acosta Ibague,Dr. Director,Hospital Universitario Multiespecialidad,sistemas@hflleras.gov.co,SI,+5762739805,Calle 33 No 4A-50 La Francia Ibague,clinica_grande,alta,https://hflleras.gov.co
129,Clinica Avidanti Ibague,Dr. Director,Hospitalaria Multiespecialidad,comunicaciones@avidanti.com,SI,+5762739880,Calle 103 No 20-80 Sur Picalena Ibague,clinica_grande,alta,https://www.avidanti.com
130,Clinica Asotrauma Ibague,Dr. Director,Trauma Ortopedia Cirugia Plastica,info@asotrauma.com.co,SI,+5762641920,Cra 4D No 32-34 Cadiz Ibague,clinica_mediana,alta,https://asotrauma.com.co
131,Cuidarte Consultorios Espinal Tolima,Dr. Director,Multiespecialidad Odontologia Laboratorio,info@cuidarteconsultoriosespinal.com,SI,+5762000000,Centro Espinal Tolima,centro_mediano,alta,https://cuidarteconsultoriosespinal.com
132,Psicologia Clinica Espinal Tolima,Dr. Director,Psicologia Clinica Salud Mental,uwa9@hotmail.com,SI,+5762000000,Mediluz Calle 14 entre Cra 5 y 6 Espinal Tolima,consultorio,alta,https://psicologiaclinicaespinal.com
133,Hospital Nuestra Senora Fatima Flandes,Dr. Director,Hospitalaria,info@esehospitalfatima-flandes-tolima.gov.co,SI,+573219677967,Calle 6 No 9-45 Barrio La Ceiba Flandes Tolima,clinica_mediana,alta,http://www.esehospitalfatima-flandes-tolima.gov.co
134,Optica Vision Natural Ibague,Dra. Directora,Optometria,contacto@opticavisionatural.com,SI,+573144617814,Ibague Tolima,consultorio,media,https://opticavisionatural.com
135,Mama y Bebe Ibague,Dra. Directora,Ginecologia Pediatria,info@mamaybebeibague.com,PENDIENTE,+5762000000,Ibague Tolima,centro_mediano,alta,
136,Varices y Flebologia Ibague,Dr. Especialista,Flebologia,info@varicestolima.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,
137,Ceditrans Salud Ocupacional Ibague,Dr. Director,Salud Ocupacional Transito,info@ceditrans.com.co,SI,+5762000000,Cra 8 Sur 58-135 Avenida Mirolindo Ibague,centro_mediano,alta,
138,Centro Andrologico Ibague,Dr. Urologo,Andrologia,info@andrologiaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,
139,Cirugia Maxilofacial Sonrisa Ibague,Dr. Director,Maxilofacial,info@maxilofacialibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,
